"AAAA","BBB"
"GPSData(longitude=16.4936, latitude=48.1769, altitude=1112.1, track=341.8, ground_speed=126.3)","AttitudeData(true_heading=341.8, pitch=8.82, roll=0.02)",1744314565.079574
"GPSData(longitude=16.4931, latitude=48.178, altitude=1125.0, track=341.8, ground_speed=126.8)","AttitudeData(true_heading=341.8, pitch=8.82, roll=0.01)",1744314566.091393
"GPSData(longitude=16.4926, latitude=48.179, altitude=1135.7, track=341.8, ground_speed=127.2)","AttitudeData(true_heading=341.8, pitch=8.79, roll=0.01)",1744314567.103987
"GPSData(longitude=16.4921, latitude=48.1801, altitude=1149.0, track=341.8, ground_speed=127.7)","AttitudeData(true_heading=341.8, pitch=8.79, roll=0.01)",1744314568.117552
"GPSData(longitude=16.4915, latitude=48.1812, altitude=1162.2, track=341.8, ground_speed=128.2)","AttitudeData(true_heading=341.8, pitch=8.77, roll=0.01)",1744314569.132442
"GPSData(longitude=16.4909, latitude=48.1824, altitude=1175.7, track=341.8, ground_speed=128.7)","AttitudeData(true_heading=341.8, pitch=8.75, roll=0.01)",1744314570.144765
"GPSData(longitude=16.4904, latitude=48.1835, altitude=1189.3, track=341.8, ground_speed=129.1)","AttitudeData(true_heading=341.8, pitch=8.75, roll=0.0)",1744314571.1602628
"GPSData(longitude=16.4898, latitude=48.1847, altitude=1203.0, track=341.8, ground_speed=129.6)","AttitudeData(true_heading=341.8, pitch=8.74, roll=0.01)",1744314572.172367
"GPSData(longitude=16.4892, latitude=48.1859, altitude=1216.8, track=341.8, ground_speed=130.0)","AttitudeData(true_heading=341.8, pitch=8.76, roll=0.01)",1744314573.1854239
"GPSData(longitude=16.4888, latitude=48.1868, altitude=1228.1, track=341.8, ground_speed=130.4)","AttitudeData(true_heading=341.8, pitch=8.78, roll=0.01)",1744314574.198358
"GPSData(longitude=16.4882, latitude=48.188, altitude=1242.0, track=341.8, ground_speed=130.8)","AttitudeData(true_heading=341.8, pitch=8.82, roll=0.0)",1744314575.211123
"GPSData(longitude=16.4876, latitude=48.1891, altitude=1256.2, track=341.8, ground_speed=131.2)","AttitudeData(true_heading=341.8, pitch=8.85, roll=0.01)",1744314576.225961
"GPSData(longitude=16.487, latitude=48.1903, altitude=1271.0, track=341.8, ground_speed=131.5)","AttitudeData(true_heading=341.8, pitch=8.89, roll=-0.0)",1744314577.2384498
"GPSData(longitude=16.4865, latitude=48.1915, altitude=1285.4, track=341.8, ground_speed=131.9)","AttitudeData(true_heading=341.8, pitch=8.95, roll=0.0)",1744314578.254604
"GPSData(longitude=16.486, latitude=48.1925, altitude=1297.4, track=341.8, ground_speed=132.2)","AttitudeData(true_heading=341.8, pitch=9.0, roll=-0.01)",1744314579.267164
"GPSData(longitude=16.4854, latitude=48.1936, altitude=1312.5, track=341.8, ground_speed=132.5)","AttitudeData(true_heading=341.8, pitch=9.05, roll=-0.01)",1744314580.280308
"GPSData(longitude=16.4848, latitude=48.1948, altitude=1327.5, track=341.8, ground_speed=132.8)","AttitudeData(true_heading=341.8, pitch=9.11, roll=-0.0)",1744314581.294781
"GPSData(longitude=16.4842, latitude=48.196, altitude=1342.8, track=341.8, ground_speed=133.0)","AttitudeData(true_heading=341.8, pitch=9.17, roll=-0.0)",1744314582.308126
"GPSData(longitude=16.4836, latitude=48.1972, altitude=1358.5, track=341.8, ground_speed=133.3)","AttitudeData(true_heading=341.8, pitch=9.21, roll=-0.0)",1744314583.324417
"GPSData(longitude=16.4831, latitude=48.1984, altitude=1374.2, track=341.8, ground_speed=133.5)","AttitudeData(true_heading=341.8, pitch=9.27, roll=-0.01)",1744314584.336888
"GPSData(longitude=16.4825, latitude=48.1996, altitude=1390.3, track=341.8, ground_speed=133.8)","AttitudeData(true_heading=341.8, pitch=9.31, roll=-0.0)",1744314585.3516102
"GPSData(longitude=16.482, latitude=48.2005, altitude=1403.5, track=341.8, ground_speed=133.9)","AttitudeData(true_heading=341.8, pitch=9.37, roll=-0.01)",1744314586.364514
"GPSData(longitude=16.4814, latitude=48.2017, altitude=1420.0, track=341.8, ground_speed=134.1)","AttitudeData(true_heading=341.8, pitch=9.42, roll=-0.01)",1744314587.377302
"GPSData(longitude=16.4808, latitude=48.2029, altitude=1436.7, track=341.8, ground_speed=134.3)","AttitudeData(true_heading=341.8, pitch=9.46, roll=-0.0)",1744314588.389933
